,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
1427,13684720,1433.01,,3,4,4,3,2,4,4,48.2,321.9,3,2,1,PC,APC,12.4647,0.007,,1,spoc,20:22:09.18,36:03:53.22,44.041,0.062,49.286,0.066,2458695.012207,0.000566,12.437607,0.00025,1.732323,0.034109,149.265378,3.64026,128446.90625,3347.188721,19.739946,2.758378,3.486943,348.522614,51.745399,67.9631,0.1825,3275.0,157.0,4.75761,0.007105,0.476997,0.014044,,,"14,15",2019-11-14,2019-12-17,2021-06-06 00:00:00,
1428,138588540,1434.01,,2,4,2,2,4,4,4,2.0,69.9,0,12,6,PC,PC,8.0621,0.006,,1,spoc,11:45:31.34,65:32:28.73,1.358,0.049,76.389,0.044,2458703.403198,0.002018,29.889399,0.00286,3.699373,0.410972,0.826123,0.08185,760.597717,75.383881,2.029456,0.938021,12.020799,474.901001,10.564651,37.7873,0.03945,5393.859863,139.682007,4.67802,0.088991,0.735511,0.044638,,,"14,15",2019-11-14,2019-12-17,2021-06-01 12:02:45,
1429,153976959,1435.01,,2,5,5,2,4,4,4,4.5,7.1,4,8,5,PC,PC,9.9802,0.006,,1,spoc,13:34:09.11,67:37:16.43,89.429,0.048,-98.354,0.038,2458683.419189,0.002021,0.685999,5.4e-05,0.928055,0.166417,0.217381,0.037521,200.195557,34.55777,1.15986,2.360556,2009.332275,1707.586426,7.899822,92.8659,0.19045,5142.0,122.711998,4.54622,0.085477,0.82354,0.048407,,,"14,15",2019-11-14,2019-12-17,2021-06-01 12:02:45,Possibly stellar variability
1430,154383539,1436.01,,2,5,5,2,4,4,4,5.6,44.4,3,8,4,PC,PC,11.0906,0.006,,1,spoc,14:22:24.52,55:20:03.33,-39.877,0.043,135.926,0.042,2458711.901733,0.002036,0.867492,6.5e-05,1.217543,0.375861,0.520358,0.056617,479.153015,52.1451,1.717836,1.886335,1118.22522,1474.86438,7.581467,131.601,0.4555,5011.220215,102.681,4.6136,0.077482,0.74524,0.038915,-0.139143,0.0288309,"15,16",2019-11-14,2019-12-17,2021-06-01 12:02:45,
1431,198356533,1437.01,,2,4,2,2,4,4,4,2.4,37.6,0,18,6,PC,PC,8.69378,0.006,,1,spoc,17:04:33.3,56:50:33.18,10.709,0.032,-20.199,0.038,2458700.731357,0.00299,18.841117,0.000305,6.26468,0.210642,0.397639,0.01945,366.172424,17.914108,2.472192,0.247834,87.751821,780.609414,19.443005,103.297,0.183,6093.0,124.709,4.32207,0.07853,1.2224,0.054834,,,"14,15,16,17,18,19,20,21,22,23,24,25,26",2019-11-14,2020-09-23,2021-06-01 12:02:45,potential L1 candidate
1432,229650439,1438.01,,2,4,2,2,3,4,4,3.7,51.4,1,10,1,PC,PC,10.3237,0.006,,1,qlp,18:43:41.71,74:56:16.2,-23.084,0.039,53.295,0.04,2458688.76625,0.00189,5.13969,5e-05,0.878,0.238,0.716822,0.002888,660.0,2.66039,2.58285,0.206094,27.9725,640.0,15.0,110.513,0.25,5374.0,183.0,5.96065,0.332801,0.82,0.05,,,"14,15,16,17,18,19,20,21,23,24,25,26",2019-11-14,2020-09-30,2021-06-16 00:00:00,TOI 1438; under investigation by TFOP
1433,229650439,1438.02,,1,4,1,1,3,4,4,2.7,45.2,1,10,1,PC,PC,10.3237,0.006,,2,spoc,18:43:41.71,74:56:16.2,-23.084,0.039,53.295,0.04,2458689.913585,0.001888,9.428141,9.3e-05,1.523198,0.141475,0.830148,0.056626,764.302568,52.152992,2.720681,0.236941,64.088876,721.631386,13.800772,110.513,0.25,5374.0,183.0,5.96065,0.332801,0.815924,0.045827,,,"14,15,16,17,18,19,20,21,23,24,25,26",2020-02-21,2020-09-11,2021-06-16 00:00:00,Outer planet in a TOI multi-planet system
1434,232982558,1439.01,,3,4,3,3,4,4,4,2.2,20.7,0,11,3,PC,PC,9.98671,0.006,,1,spoc,16:07:03.34,67:52:39.51,-0.587,0.062,-20.618,0.079,2458703.480931,0.003315,27.643024,0.000462,5.497369,0.468637,0.660799,0.038402,608.433232,35.368973,4.055075,1.312291,84.302214,772.822033,15.894032,230.306,2.3345,5873.0,123.835,4.043,0.07822,1.62481,0.078053,,,"14,15,16,17,18,19,20,21,22,23,24,25,26",2019-11-14,2020-09-14,2021-06-01 12:02:45,2 stars in pixel
1435,233617847,1440.01,,2,4,2,2,4,4,4,6.0,44.3,0,1,4,PC,PC,9.80972,0.008,,1,spoc,18:55:10.69,64:31:52.93,5.121,0.119,7.189,0.084,2458683.964929,0.00529,15.516857,0.001715,5.857807,0.553391,1.00464,0.107834,924.879856,99.31412,3.080011,0.887914,67.393451,730.759,7.59708,237.152,2.6445,5780.0,,4.438,,1.0,,,,"14,15,16",2019-11-14,2020-09-14,2021-06-22 00:00:00,Three bright stars within TESS pixel; Slight centroid shift. Rp may be larger than stated
1436,233617847,1440.02,,2,4,2,2,4,4,4,3.9,34.2,0,1,4,PC,PC,9.80972,0.008,,2,spoc,18:55:10.69,64:31:52.93,5.121,0.119,7.189,0.084,2458684.300706,0.003737,4.627287,9.7e-05,3.836887,0.713868,0.309963,0.041292,285.445478,38.03057,1.726833,1.633415,338.262657,1093.788275,7.252286,237.152,2.6445,5780.0,,4.438,,1.0,,,,"14,15,16,17,18,20,21,23,24,25,26",2020-09-23,2020-09-11,2021-06-22 00:00:00,Actual Rp is larger than reported Rp because star is late F star and reported Rp assumes 1 Rsun
