id_starname,id_planet,disposition,orbper,orbper_err1,orbper_err2,rprstar,rprstar_err1,rprstar_err2,prad,prad_err1,prad_err2,sma,sma_err1,sma_err2,insol,insol_err1,insol_err2
tic232540264,toi1247.01,PC,15.9235438,7.44e-05,-7.44e-05,0.01905703483333333,0.0013577765284110044,-0.0013577765284110044,2.1201352673931866,0.18089184246670795,-0.16725805416903952,0.12362995173257157,0.0024421432870107267,-0.0026609850815748856,68.57257700185063,3.6561086177989366,-3.7207039452060466
tic232612416,toi1248.01,PC,4.3601553,2.8e-06,-2.8e-06,0.07096768962729842,0.005538731010354974,-0.005538731010354974,6.573731064493849,0.572518241992288,-0.5405465682642696,0.05032877464024061,0.00040972768343348805,-0.0011596229654867443,185.30978891844597,6.071353210926762,-9.965002292342726
tic232976128,toi1249.01,PC,13.0791729,5.61e-05,-5.61e-05,0.02929625884,0.002406221325454644,-0.002406221325454644,3.0412606025777604,0.2855343029658253,-0.26315200588131893,0.10769771189540125,0.0015839812778842774,-0.0021592043494511022,63.77147600720456,2.7034451259423813,-3.170341598266075
tic52368076,toi125.01,CP,4.6517906,2.24e-05,-2.24e-05,0.03556767394405033,0.003204946692062512,-0.003204946692062512,3.224410007073353,0.31985451728673997,-0.30865661356731683,0.051729527778048574,0.000888662410528832,-0.0011560623052956054,177.53021347820265,8.06617360215852,-9.41711583519224
tic52368076,toi125.02,CP,9.1546621,4.35e-05,-4.35e-05,0.03172396076858633,0.0037406552153557687,-0.0037406552153557687,2.8759557548559678,0.3594837802926501,-0.35160993747893526,0.08123688997105012,0.0013955698714702375,-0.0018154990061474646,71.98511877690335,3.2706796961380737,-3.8184610299303308
tic52368076,toi125.03,CP,19.9812509,0.0001134,-0.0001134,0.030905807017058053,0.006529078635063252,-0.006529078635063252,2.8017855083590457,0.603200085610426,-0.5987790703430981,0.13669108522737763,0.002348218422605448,-0.0030548009719635096,25.42546592020954,1.1552187022518863,-1.3486975187244907
tic233211762,toi1252.01,PC,1.1219713,7e-07,-7e-07,0.1425510646451613,0.04971170502135449,-0.04971170502135449,11.110011283413266,3.8806861342791152,-3.8791764265702575,0.018563394843777444,0.00019049329114372853,-0.00018469431991164145,502.06337448395925,28.87238832970339,-33.03737933102408
tic236714379,toi1254.01,PC,1.018012,4e-07,-4e-07,0.0735785646972477,0.010770960203816555,-0.010770960203816555,7.8944242149788,1.2258514398299902,-1.2209082835422642,0.018486201309390722,0.0006231214238619313,-0.000300822585237262,2534.153941765155,196.038671429462,-120.9438240410024
tic237222864,toi1255.01,CP,10.2889139,2.12e-05,-2.12e-05,0.0268382032183908,0.002363257020207458,-0.002363257020207458,2.446005298076713,0.23767918242831268,-0.22696378878164666,0.08786260588124792,0.0015018167712002703,-0.001959869563426058,57.12736213300894,2.540724280624099,-3.0007274925449123
tic278348461,toi1257.01,KP,5.4526984,5e-06,-5e-06,0.08356062522292994,0.005369760435572489,-0.005369760435572489,13.58176540798237,1.065692445296507,-0.9940295564343535,0.06769989940314947,0.0008736323812692331,-0.0007894450563587205,932.9763140528916,48.56763437766854,-46.95694094481179
tic288132261,toi1258.01,PC,10.2613267,4.31e-05,-4.31e-05,0.02169714589261745,0.001510239063926557,-0.001510239063926557,3.3538590915100523,0.27978325823049227,-0.28220588409189773,0.09797468867146508,0.0013986291578604964,-0.002201039296334703,271.3227152092292,13.804368791675229,-16.04923888074807
tic288735205,toi1259.01,CP,3.4779796,5e-07,-5e-07,0.15989986935064934,0.015386486928837689,-0.015386486928837689,12.730038195586511,1.2990313902133652,-1.2775690927615373,0.040620290907755645,0.0006813433781813112,-0.0007831560273628975,139.25734462256673,6.153355264594655,-6.787421091494646
tic70440470,toi126.01,KP,3.0353977,3.7e-06,-3.7e-06,0.11779025937420724,0.008609341325589794,-0.008609341325589794,12.621128929645662,1.0717213860011634,-1.011967371631045,0.04063432747924738,0.0006403451132887524,-0.0010519196048517955,660.1540439712668,34.909143231277135,-43.21966921025488
tic355867695,toi1260.01,CP,3.1274448,2.5e-05,-2.5e-05,0.03978735652948887,0.0060707308540807366,-0.0060707308540807366,2.852533605712672,0.440938428810505,-0.4396592234676691,0.036021063157089986,0.000738554785805507,-0.0003905448538288139,90.42958759186217,8.07714877971551,-5.663386963794448
tic355867695,toi1260.02,CP,7.4932161,2.45e-05,-2.45e-05,0.03685123805425485,0.0186423013690045,-0.0186423013690045,2.6420301354770612,1.3381519428208157,-1.3377908199760744,0.06449740821742084,0.0013224170525883165,-0.0006992888638852474,28.20584256647736,2.519338986089033,-1.7664638689788372
tic355867695,toi1260.03,PC,548.0732288,0.0087932,-0.0087932,0.05364009030199111,0.009162287472802776,-0.009162287472802776,3.8456980695987357,0.663759433724759,-0.6622153481957281,1.1280347642860324,0.02312856661939902,-0.012230297905252046,0.09221013027349036,0.008236186596734947,-0.005774898310687728
